id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
0,e,8.8,f,s,u,f,a,c,w,4.51,15.39,,,w,,,f,f,,d,a
1,p,4.51,x,h,o,f,a,c,n,4.79,6.48,,y,o,,,t,z,,d,w
2,e,6.94,f,s,b,f,x,c,w,6.85,9.93,,s,n,,,f,f,,l,w
3,e,3.88,f,y,g,f,s,,g,4.16,6.53,,,w,,,f,f,,d,u
4,e,5.85,x,l,w,f,d,,w,3.37,8.36,,,w,,,f,f,,g,a
5,p,4.3,x,t,n,f,s,c,n,5.91,8.2,,,w,,n,t,z,,d,a
6,e,9.65,p,y,w,f,e,c,k,19.07,12.69,,s,w,,,t,e,,g,w
7,p,4.55,x,e,e,f,a,,y,8.31,9.77,,,y,,w,t,z,,d,a
8,p,7.36,f,h,e,f,x,d,w,5.77,17.13,b,,w,,,f,f,,d,a
9,e,6.45,x,t,n,f,a,d,w,7.13,12.77,,,e,,,f,f,,d,a
10,e,7.49,f,t,n,f,s,,n,9.14,13.0,,t,o,,,f,f,,d,a
11,e,8.3,x,y,n,f,,,w,6.56,24.11,b,,n,,w,t,e,,d,w
12,e,2.74,b,g,n,f,a,d,g,4.33,2.57,,s,n,,,f,f,,d,s
13,e,6.53,x,y,n,f,e,c,w,6.37,10.29,,y,n,,,f,f,,d,a
14,p,3.91,b,t,n,f,,,n,9.81,5.55,,,w,,,t,,k,g,u
15,p,2.82,o,,n,f,f,f,f,4.66,25.88,,g,n,,,f,f,,d,u
16,p,7.65,x,g,n,f,e,,w,7.59,15.45,,y,w,u,w,t,p,,d,a
17,p,9.87,p,,n,f,p,,p,10.03,33.03,c,,n,,,f,f,w,d,u
18,e,0.74,c,g,e,t,a,,p,4.92,0.99,,,n,,,f,f,,h,u
19,p,7.43,s,d,n,t,d,c,y,6.21,9.49,,,e,,,f,f,,d,a
20,e,7.5,f,d,w,f,s,c,w,5.42,19.02,,,w,,,f,f,,d,s
21,p,2.39,x,g,e,f,a,,p,5.81,2.41,,,w,,,f,f,,d,a
22,e,4.41,x,s,n,f,p,,n,5.79,11.21,,,e,,,f,f,,d,a
23,e,10.33,x,i,n,t,e,,p,9.01,18.77,,y,w,,,t,l,,d,a
24,p,5.74,x,,g,f,d,c,w,5.23,11.25,b,,n,,,f,f,,l,w
25,e,3.64,b,g,g,f,a,d,g,5.35,3.56,,s,n,,,f,f,,d,a
26,e,3.03,x,s,w,f,d,d,w,2.72,5.7,,,w,,,f,f,,g,a
27,e,6.46,x,y,n,f,e,c,w,4.59,10.76,,y,n,,,f,f,,d,a
28,e,6.2,x,h,y,t,x,c,y,7.06,13.55,,,w,,,f,f,,d,u
29,p,3.69,o,,w,f,f,f,f,5.01,29.27,,g,w,,,t,f,,p,u
30,p,11.37,x,e,n,t,p,,o,7.72,23.92,,,u,,,f,f,,d,a
31,e,7.8,x,,n,t,p,,g,10.64,23.05,,y,w,,,f,f,,d,u
32,p,8.69,o,e,r,f,,c,o,1.51,14.09,,,y,,,f,f,,d,u
33,p,5.06,s,d,o,f,d,c,y,3.19,5.85,,,y,,,f,f,,d,u
34,e,5.81,s,l,n,f,f,f,f,6.35,23.1,,,n,,,f,f,,d,u
35,e,7.76,x,d,n,t,p,,y,8.29,16.74,,,y,,,f,f,,d,a
36,p,6.93,f,w,n,f,x,,w,14.0,7.6,r,g,n,,,f,f,,l,a
37,p,8.63,s,t,p,t,d,c,p,7.21,12.69,,,p,,,f,f,,d,a
38,e,4.31,f,y,g,f,s,,g,5.96,8.04,,,w,,,f,f,,d,a
39,p,7.1,x,w,p,f,s,c,p,4.96,7.01,,,p,,,f,f,,d,w
40,e,7.97,f,s,k,f,a,c,w,4.47,14.93,,,w,,,f,f,,d,a
41,p,3.33,x,t,n,f,s,c,n,5.57,7.98,,,w,,n,t,z,,d,u
42,p,1.26,x,s,y,f,f,f,f,4.64,5.82,,,y,,,f,f,,d,a
43,e,8.05,s,t,p,t,d,c,o,6.78,13.64,,,w,,,f,f,,d,a
44,p,7.21,f,t,y,f,x,c,y,5.55,15.39,,,y,,,f,f,,d,a
45,p,4.4,f,,u,f,a,,w,4.43,7.3,,,y,,,f,f,,d,u
46,e,6.99,s,d,o,f,d,d,b,5.7,12.4,,,w,,,f,f,,g,w
47,p,4.37,b,s,y,f,,c,k,9.39,8.22,,,y,u,w,t,z,k,d,w
48,e,5.02,x,h,o,f,a,d,w,5.56,4.6,,s,n,,,f,f,,d,s
49,p,1.87,b,,g,f,a,,g,5.08,1.89,,s,n,,,f,f,,d,s
50,p,6.66,x,s,r,t,s,d,w,4.78,13.62,r,y,n,,,f,f,,d,u
51,p,3.56,x,t,n,f,s,c,n,5.37,7.7,,,w,,n,t,z,,d,a
52,e,11.1,s,,w,t,d,c,y,6.27,24.82,,,w,,,f,f,,d,a
53,e,11.03,x,s,n,t,e,,g,10.18,18.37,s,,w,,,t,l,,m,u
54,e,4.0,f,t,n,f,a,,o,6.06,6.87,,t,w,,,f,f,,d,u
55,e,8.37,x,s,k,f,a,c,w,3.85,12.88,,,w,,,f,f,,d,u
56,e,8.33,o,,n,f,,,w,3.66,23.33,,,n,,,f,f,,d,u
57,p,3.12,s,d,w,f,a,d,p,3.76,2.46,,h,w,,,f,f,,g,u
58,p,8.96,x,e,n,f,a,,n,10.84,14.67,s,,n,,n,f,f,,h,a
59,e,9.22,x,h,y,t,x,c,y,7.88,15.82,,,w,,,f,f,,d,u
60,p,5.14,f,k,y,f,p,,n,3.17,5.46,,k,n,,,t,f,,d,u
61,p,5.43,x,,n,f,d,c,y,6.4,10.27,b,,n,,,f,f,,l,a
62,p,7.82,x,t,n,f,a,d,w,9.29,31.65,,,w,,,f,f,,d,a
63,e,7.16,s,,g,f,s,c,p,6.91,19.49,b,,u,,,f,f,,g,a
64,e,3.12,b,y,n,f,,c,k,6.43,2.94,,,w,,,f,f,,d,s
65,e,3.77,x,d,n,f,p,,y,4.37,10.49,,,e,,,f,f,,d,a
66,e,3.73,x,i,n,f,p,,n,4.42,10.71,,,e,,,f,f,,d,a
67,p,4.24,b,t,n,f,,,k,12.28,7.13,,,w,,,t,,k,g,a
68,p,5.23,x,h,o,f,a,c,y,6.19,8.0,,g,o,,,f,f,,g,a
69,p,3.38,s,w,u,f,a,c,u,4.77,5.81,,s,u,,,f,f,,l,a
70,p,3.1,x,t,n,f,s,c,n,4.24,6.4,,,w,,n,t,z,,d,u
71,e,9.82,x,s,n,f,e,c,w,8.57,10.56,,i,w,,,f,f,p,d,a
72,e,0.74,f,g,n,t,a,,w,4.82,1.01,,,n,,,f,f,,d,u
73,p,9.6,x,t,n,f,a,d,w,12.07,29.42,,,w,,,f,f,,d,a
74,e,9.57,x,s,n,f,e,c,p,5.87,9.12,,i,n,,,f,f,p,d,s
75,p,8.0,x,y,n,f,s,c,n,6.56,8.58,,y,n,,,f,f,,d,a
76,p,7.24,x,,n,f,x,c,w,8.75,8.99,r,i,w,,,f,f,,h,a
77,p,12.56,f,,g,f,e,,w,11.0,14.81,,,w,u,w,t,g,,d,u
78,e,7.93,f,y,n,f,,,w,7.13,23.77,b,,n,,w,t,e,,d,a
79,p,14.84,x,g,o,f,e,,w,18.28,18.09,s,y,w,u,w,t,g,,d,a
80,p,1.65,x,g,n,f,d,d,n,2.11,2.44,,s,n,,,f,f,,h,a
81,p,1.66,p,t,n,f,a,c,g,6.42,2.49,,t,y,,,t,e,,m,s
82,p,1.48,b,h,n,f,a,,n,4.73,1.46,,t,n,,,f,f,,g,a
83,p,9.37,x,,n,f,p,,w,11.11,32.22,c,,n,,,f,f,w,d,a
84,p,12.52,x,,g,f,e,,w,11.06,14.96,,,w,u,w,t,e,,d,u
85,p,7.32,x,s,n,f,s,,g,5.37,6.97,,y,n,,,f,f,,d,a
86,p,1.42,b,h,n,f,a,,n,4.37,1.55,,t,n,,,f,f,,h,a
87,p,0.72,x,,y,f,,,y,3.71,0.84,,,y,,,f,f,,g,a
88,p,6.89,f,h,e,f,x,d,w,5.69,16.87,b,,w,,,f,f,,d,a
89,p,4.6,f,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,,d,u
90,p,1.62,b,h,n,f,a,,n,4.9,1.97,,t,n,,,f,f,,h,u
91,e,10.84,x,t,n,t,p,,y,9.96,24.34,,,n,,,f,f,,d,u
92,e,0.86,f,g,e,t,a,,w,5.24,0.98,,,n,,,f,f,,h,a
93,e,16.98,x,w,n,f,p,,y,13.55,23.19,,,n,,,f,f,,d,a
94,p,7.06,f,h,r,f,,c,w,10.52,14.71,,,w,u,w,t,p,,d,a
95,p,9.61,s,,r,t,d,,o,5.19,13.14,,,w,,,t,f,,d,u
96,p,8.43,x,i,y,f,a,c,n,8.61,7.86,,,n,,k,t,z,k,g,u
97,e,6.96,x,d,y,t,p,,y,7.52,15.06,,,y,,,f,f,,d,u
98,p,2.86,x,d,w,f,a,d,w,3.83,2.48,,h,w,,,f,f,,g,u
99,p,13.71,f,h,e,f,e,,w,17.3,16.89,s,y,w,u,w,t,p,,d,a
100,p,1.54,b,h,n,f,a,,n,4.34,1.35,,t,n,,,f,f,,h,u
101,e,10.19,x,t,n,t,p,,y,8.79,22.86,,,n,,,f,f,,d,a
102,e,11.45,x,s,y,f,a,d,w,10.18,16.96,,i,n,,,t,,w,d,w
103,p,10.16,f,t,n,t,d,c,n,5.64,13.14,,,n,,,f,f,,h,u
104,p,7.35,p,g,n,f,e,,w,7.65,15.23,,y,w,u,w,t,p,,d,a
105,p,9.12,p,y,w,f,,,k,19.38,19.79,,,n,,,f,f,,d,u
106,e,8.59,x,h,y,f,p,,y,7.88,14.74,,,y,,y,t,,,d,u
107,p,3.48,b,w,u,f,a,c,g,5.77,5.28,,s,u,,,f,f,,l,a
108,e,6.44,f,s,n,f,x,c,w,7.03,9.85,,s,n,,,f,f,,l,w
109,e,1.38,x,s,y,f,a,,w,6.09,1.82,,t,y,,,f,f,,d,u
110,e,1.23,c,g,n,f,a,,w,4.9,1.28,,,g,,,f,f,,d,a
111,p,3.77,x,,w,f,x,c,p,8.22,3.96,,,n,,,f,f,,d,a
112,e,1.04,b,g,w,f,,,g,3.31,1.68,,,w,,,f,f,,d,s
113,p,2.23,f,t,n,f,,,y,7.8,3.54,,,y,,,f,f,,g,a
114,p,2.24,b,g,y,f,,c,n,6.22,2.89,,,n,,,f,f,,m,a
115,p,3.83,f,l,n,f,x,d,e,6.37,5.02,,,n,,,f,f,,d,a
116,e,13.16,f,s,n,f,a,d,w,9.74,17.45,,i,n,,,t,,w,d,w
117,p,1.65,b,t,n,f,a,,n,4.49,1.64,,t,n,,,f,f,,d,s
118,p,3.17,b,t,n,f,,,n,9.37,5.86,,,w,,,t,,k,g,a
119,e,3.22,x,h,n,f,,c,k,4.99,6.38,,s,w,,w,f,f,k,d,u
120,p,6.24,f,h,e,f,x,,w,13.52,8.07,r,g,n,,,f,f,,d,a
121,p,1.54,x,k,n,f,,,n,4.37,1.5,,,n,,,f,f,,d,w
122,p,7.23,x,s,n,f,s,,n,5.15,7.29,,y,n,,,f,f,,d,w
123,p,13.21,f,,n,f,e,,w,11.79,18.01,,,w,u,w,t,e,,d,u
124,p,3.84,x,i,e,f,,,e,5.17,5.25,,,e,,,f,f,n,d,a
125,e,9.77,s,,n,f,s,c,u,7.65,20.01,,,u,,,f,f,,d,w
126,e,7.9,f,s,u,f,a,c,w,4.71,13.55,,,w,,,f,f,,d,a
127,e,0.97,p,g,g,f,,,g,2.89,1.53,,,w,,,f,f,,d,s
128,p,3.26,b,y,n,f,,c,g,5.6,4.53,s,s,w,,,f,f,,d,a
129,e,6.35,f,s,n,f,x,c,w,7.04,10.43,,s,n,,,f,f,,l,w
130,p,7.31,x,i,y,f,a,c,n,8.75,9.6,,i,n,,k,t,z,k,g,a
131,p,5.79,s,d,o,f,d,c,y,2.99,6.07,,,y,,,f,f,,h,a
132,p,8.47,x,e,e,f,a,,g,8.54,10.58,,,n,,w,t,z,,d,u
133,e,8.8,x,h,n,t,p,,n,7.19,18.09,,,n,,w,t,p,,d,a
134,e,4.38,x,,w,f,a,,r,6.69,7.66,,,r,,,f,f,,l,u
135,p,4.17,f,,w,f,x,c,p,8.66,3.86,,,p,,,f,f,,l,a
136,e,4.01,x,h,n,f,a,d,y,7.35,6.43,,k,o,,,f,f,,d,s
137,e,6.83,x,,g,t,p,,g,12.08,24.82,,y,w,,,f,f,,d,a
138,p,6.46,f,d,e,t,d,c,w,5.83,8.85,,,e,,,f,f,,d,u
139,p,5.83,c,i,y,f,,c,r,5.87,7.06,,,w,,,f,f,,d,u
140,p,1.42,x,,n,f,,,n,4.96,2.4,,s,n,,,f,f,k,g,u
141,e,8.31,x,d,y,t,p,,y,7.42,14.74,,,y,,,f,f,,d,a
142,p,0.7,x,g,o,f,,,y,3.54,0.79,,,w,,,f,f,,d,u
143,p,7.83,o,e,o,f,,c,y,1.54,15.2,,,y,,,f,f,,d,a
144,e,5.35,c,,n,f,f,f,f,4.99,18.36,,,n,,,f,f,,l,s
145,e,6.24,x,h,n,f,e,,w,13.14,13.0,,s,n,u,w,f,f,,d,u
146,p,11.07,x,h,y,f,s,,p,7.92,17.75,,,n,,,f,f,,d,a
147,p,5.97,b,y,g,f,,,p,10.57,12.15,,s,w,,,t,z,,g,a
148,e,3.62,f,g,g,f,a,d,g,4.22,3.11,,s,n,,,f,f,,d,u
149,p,8.41,s,t,r,t,d,,w,4.64,12.64,,t,g,,,f,f,,d,u
150,p,0.81,x,g,y,f,,,y,3.75,0.82,,,w,,,f,f,,d,a
151,p,2.05,o,,w,f,f,f,f,4.25,22.13,,g,w,,,t,f,,d,u
152,p,3.65,b,y,n,f,,c,u,6.26,4.46,s,s,w,,,f,f,,d,a
153,p,17.97,s,s,n,f,d,c,y,4.48,29.07,,k,k,,,f,f,,d,u
154,e,5.09,f,g,g,f,a,d,g,5.5,3.19,,s,n,,,f,f,,d,w
155,e,5.73,x,y,n,f,e,c,p,5.31,10.51,,y,n,,,f,f,,d,a
156,p,7.88,x,s,r,t,s,d,r,5.58,15.29,r,i,n,,,f,f,,d,u
157,p,7.25,x,h,e,f,x,d,w,5.76,16.78,b,,w,,,f,f,,d,a
158,e,4.3,s,d,p,t,d,c,p,4.22,6.0,,,g,,,f,f,,d,a
159,p,5.48,s,d,n,t,d,c,y,5.46,7.42,,,n,,,f,f,,d,a
160,e,8.01,x,e,l,f,x,c,w,8.16,22.92,,,w,,,f,f,,d,u
161,p,3.08,b,,g,f,a,,k,9.25,2.6,,,g,,w,f,f,k,g,a
162,e,8.95,x,s,n,f,e,c,w,6.8,9.89,,i,w,,,f,f,p,d,u
163,p,10.43,x,i,n,f,a,,n,11.34,16.43,s,,n,,n,f,f,,d,a
164,e,9.32,f,s,w,f,s,c,w,7.86,32.37,,,w,,,f,f,,d,w
165,e,9.74,f,,w,f,d,c,w,2.59,14.27,,,w,,,f,f,,d,a
166,p,12.95,x,,g,f,e,,w,11.25,14.45,,,w,u,w,t,g,,d,u
167,e,11.95,s,t,p,t,d,c,o,6.36,17.56,,,w,,,f,f,,d,u
168,p,11.9,x,t,n,f,a,d,w,10.69,31.64,,,w,,,f,f,,d,u
169,p,1.73,x,g,y,f,d,d,n,2.58,2.81,,s,n,,,f,f,,d,a
170,p,1.02,b,t,n,f,,c,g,3.89,2.51,,,n,,,t,f,,g,u
171,p,3.15,x,i,e,f,,,e,4.37,5.93,,,e,,,f,f,n,d,a
172,e,9.43,f,s,e,f,d,d,w,8.1,12.98,,i,n,,,t,,w,d,a
173,e,3.7,f,d,u,t,d,c,p,4.52,6.82,,,n,,,f,f,,d,a
174,p,14.8,f,h,e,f,e,,w,17.87,17.93,s,y,w,u,w,t,p,,d,w
175,p,6.58,b,t,w,f,e,c,w,12.51,11.89,,y,w,u,w,t,l,,d,u
176,e,11.0,f,e,n,f,,c,b,5.19,22.49,,,w,,,t,f,,d,a
177,p,7.67,x,,w,f,x,c,w,8.97,9.82,r,i,w,,,f,f,,h,u
178,p,8.91,f,y,y,f,s,c,y,7.21,17.06,,y,u,,,f,f,,d,a
179,p,2.49,x,g,n,f,a,,w,6.66,2.47,,,w,,,f,f,,d,a
180,p,9.49,x,t,n,f,a,d,w,9.89,30.94,,,w,,,f,f,,d,a
181,p,0.82,x,g,p,f,a,,n,3.88,1.06,,s,k,,,f,f,,d,a
182,p,14.08,f,t,r,t,d,c,y,4.98,28.66,,,n,,,f,f,,d,a
183,p,6.21,x,,n,f,d,c,y,5.27,9.71,b,,n,,,f,f,,l,a
184,p,1.61,x,g,y,f,d,d,n,2.11,2.51,,s,n,,,f,f,,h,u
185,p,8.34,b,t,w,f,e,c,w,13.28,12.45,,y,w,u,w,t,l,,d,a
186,e,6.41,x,,n,t,p,,g,10.85,23.38,,y,w,,,f,f,,d,u
187,e,6.95,s,w,y,f,f,f,f,4.87,13.59,,,y,,,f,f,,d,u
188,p,4.07,x,h,l,f,s,c,n,5.61,6.56,,y,l,,,t,e,k,g,u
189,p,7.14,x,s,g,t,s,d,y,6.1,17.11,r,y,n,,,f,f,,d,a
190,e,14.79,x,s,w,t,e,,n,12.91,17.28,s,,w,,,t,r,,m,a
191,p,6.75,f,h,e,f,x,,w,16.71,7.1,r,g,n,,,f,f,,d,a
192,p,1.49,b,,n,f,a,,g,5.32,2.01,,s,n,,,f,f,,d,u
193,e,6.83,s,,n,f,l,c,g,6.03,19.02,,,u,,,f,f,,d,w
194,p,1.41,o,k,n,f,,,n,2.76,1.54,,,n,,,f,f,,d,u
195,e,9.12,p,i,n,t,e,,p,9.05,17.28,,y,w,,,t,p,,d,a
196,e,11.11,f,,w,f,d,c,y,2.46,14.49,,,w,,,f,f,,d,w
197,p,10.75,x,e,n,t,p,,o,8.07,27.8,,,u,,,f,f,,d,a
